Operation,Param #1,Param #2,Param #3,Param #4,RequiresRegs,RequiresInReduce,LatencyOf,LatencyInReduce,BuiltInLatency,
UnrolledReduce,,,,,0,0,1,1,0,
Switch,,,,,0,0,0,0,0,
SwitchCase,,,,,0,0,0,0,0,
ExitIf,,,,,0,0,0,0,0,
BreakpointIf,,,,,0,0,0,0,0,
PrintIf,,,,,0,0,0,0,0,
PrintlnIf,,,,,0,0,0,0,0,
AssertIf,,,,,0,0,0,0,0,
ToString,,,,,0,0,0,0,0,
StringConcat,,,,,0,0,0,0,0,
FixRandom,,,,,0,0,0,0,0,
FltRandom,,,,,0,0,0,0,0,
BitsPopcount,,,,,1,1,1,0,0,
