Benchmark,Param #0,Param #1,Param #2,Param #3,RAM18,RAM36,URAM,RAM32X1S,RAM32X1D,RAM32M,RAM64M,RAM64X1S,RAM64X1D,RAM128X1S,RAM128X1D,RAM256X1S,SRLC32E,SRL16E,DSPs,Regs,Mregs,MUX7,MUX8,LUT1,LUT2,LUT3,LUT4,LUT5,LUT6,SLICEL,SLICEM,Slices
Fringe,,,,,3,2,0,0,1,17,0,0,0,0,0,0,47,19,0,7526,0,395.5,159,,,,,,,1673.625,1248.5,0
Parallel,n,,,,,,,,,,,,,,,,,,,3*n,,,,,,,4.5*n,,,,,
MetaPipe,n,,,,,,,,,,,,,,,,,,,35 + 0.5*n*n + 1.5*n,,,,,,,5.5*n*n + 22.5*n + 105,,,,,
Sequential,n,,,,,,,,,,,,,,,,,,,2*n + 35,,,,,,,7*n + 40,,,,,
Switch,n,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,
Counter,b,p,,,,,,,,,,,,,,,,,,p,,,,,,b + p,,,,,,
CounterChain,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwitchMux,n,b,,,,,,,,,,,,,,,,,,,,,,,,n*b,,,,,,
Switch,n,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgIn,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,3,0,0,0,32,1,10,15,7,0
ArgOut,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,1,0,0,0,0,0,10,10,3,0
FixAbs,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,1.0 * b,0,0,0
FixAdd,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,0,0,0
FixAnd,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0,0
FixDiv,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0 * b,0,3.0 * b,0,1.0 * b*b,0,0,0,0
FixEql,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixInv,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixLeq,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixLt,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
